Designator,Mid X,Mid Y,Layer,Rotation
C1,12.5,12.5,Top,180
C10,35,6,Top,270
C11,7.5,66.5,Top,0
C12,7.5,64.5,Top,0
C13,7.5,60.5,Top,0
C14,26,17,Top,0
C15,26,13,Top,0
C2,26,15,Top,0
C3,7.5,16,Top,90
C4,13.5,16,Top,90
C5,12.5,10.5,Top,180
C6,41.5,11,Top,270
C7,7.5,56.5,Top,0
C8,42,6,Top,270
C9,7.5,58.5,Top,0
D1,2.63,73.12,Top,0
J1,27,5.48,Top,0
J2,12.85,3,Top,0
L2,10.5,15,Top,0
R1,12.5,8.5,Top,180
R2,43.5,11,Top,90
R3,12.5,6.5,Top,180
R4,7.5,62.5,Top,180
R5,26,11,Top,180
R6,26,9,Top,180
R7,30,11,Top,0
R8,30,9,Top,0
R9,36,9,Top,0
U$15,5.75,14,Top,90
U1,19.01,12.5,Top,270
U2,43,15.5,Top,0
U3,38.5,6,Top,180
U4,36,13.5,Top,180
U6,30,15,Top,270
